time   pid avg min max msg con
1553694098652 52443 0.00 0 0 0 200
1553694099649 52443 0.00 0 0 0 200
1553694102224 52462 0.00 0 0 0 200
1553694103229 52462 0.00 0 0 200 200
1553694104230 52462 0.00 0 0 0 200
1553694105230 52462 0.00 0 0 0 200
1553694106231 52462 0.00 0 0 0 200
1553694107234 52462 0.00 0 0 0 200
1553694108237 52462 0.00 0 0 0 200
1553694109237 52462 0.00 0 0 0 200
1553694110239 52462 0.00 0 0 0 200
1553694111244 52462 0.00 0 0 0 200
1553694112244 52462 0.00 0 0 0 200
1553694113249 52462 0.00 0 0 0 200
1553694114250 52462 0.00 0 0 0 200
1553694115256 52462 0.00 0 0 0 200
1553694116259 52462 0.00 0 0 0 200
1553694117263 52462 0.00 0 0 0 200
1553694118263 52462 0.00 0 0 0 200
1553694130370 52626 0.00 0 0 0 100
1553694131370 52626 14.81 1 35 100 100
1553694132374 52626 18.71 1 51 100 100
1553694133374 52626 13.93 1 40 100 100
1553694134373 52626 12.47 1 36 100 100
1553694135379 52626 9.28 1 26 100 100
1553694136382 52626 7.54 1 35 100 100
1553694137383 52626 7.13 1 21 100 100
1553694138385 52626 7.88 1 23 100 100
1553694139387 52626 4.36 1 16 100 100
1553694140390 52626 4.13 1 21 100 100
1553694141395 52626 4.20 1 21 100 100
1553694142395 52626 11.13 1 41 100 100
1553694143396 52626 3.75 1 37 100 100
1553694144396 52626 2.79 1 41 100 100
1553694145399 52626 4.92 1 25 100 100
1553694146400 52626 4.34 1 18 100 100
1553694147404 52626 3.14 1 31 100 100
1553694148407 52626 2.64 1 20 100 100
1553694149412 52626 2.57 1 18 100 100
1553694150412 52626 3.68 1 21 100 100
1553694151416 52626 3.60 1 16 100 100
1553694152420 52626 9.37 1 28 100 100
1553694153424 52626 4.02 1 7 100 100
1553694154429 52626 6.06 1 19 100 100
1553694155431 52626 3.99 1 13 100 100
1553694156432 52626 3.06 1 10 100 100
1553694157433 52626 4.48 1 11 100 100
1553694158438 52626 3.35 1 27 100 100
1553694159443 52626 4.26 1 11 100 100
1553694160446 52626 3.65 1 7 100 100
1553694161445 52626 7.73 1 22 100 100
1553694162445 52626 3.09 1 21 100 100
1553694163451 52626 3.69 1 28 100 100
1553694164455 52626 6.26 1 21 100 100
1553694165456 52626 2.91 1 16 100 100
1553694166460 52626 4.71 1 21 100 100
1553694167464 52626 4.37 1 20 100 100
1553694168468 52626 4.86 1 21 100 100
1553694169472 52626 4.15 1 27 100 100
1553694170478 52626 6.62 1 19 100 100
1553694171477 52626 7.95 1 31 100 100
1553694172481 52626 5.68 1 23 100 100
1553694173481 52626 5.83 1 17 100 100
1553694174481 52626 3.92 1 16 100 100
1553694175482 52626 5.03 1 18 100 100
1553694176487 52626 4.11 1 26 100 100
1553694177488 52626 6.76 1 51 100 100
1553694178492 52626 5.38 1 21 100 100
1553694179498 52626 2.85 1 7 100 100
1553694180504 52626 6.65 1 41 100 100
1553694181505 52626 5.77 1 27 100 100
1553694182511 52626 4.73 1 18 100 100
1553694183512 52626 5.25 1 18 100 100
1553694184516 52626 6.82 1 28 100 100
1553694185518 52626 6.34 1 22 100 100
1553694186519 52626 5.39 1 24 100 100
1553694187525 52626 7.02 1 44 100 100
1553694188531 52626 7.66 1 23 100 100
1553694189535 52626 6.41 1 17 100 100
1553694190535 52626 5.48 1 16 100 100
1553694191540 52626 6.38 1 42 100 100
1553694192541 52626 6.66 1 20 100 100
1553694193543 52626 6.47 1 24 100 100
1553694194545 52626 6.67 1 27 100 100
1553694195548 52626 7.72 1 30 100 100
1553694196554 52626 7.34 1 24 100 100
1553694197559 52626 4.34 1 19 100 100
1553694198561 52626 4.43 1 18 100 100
1553694199565 52626 76.52 1 233 100 100
1553694200569 52626 424.32 4 550 100 100
1553694201571 52626 5.98 1 15 100 100
1553694202574 52626 23.45 1 45 100 100
1553694203576 52626 7.32 1 13 100 100
1553694204578 52626 6.71 1 17 100 100
1553694205578 52626 4.68 1 8 100 100
1553694206578 52626 3.19 1 8 100 100
1553694207580 52626 2.69 1 5 100 100
1553694208579 52626 3.85 1 7 100 100
1553694209581 52626 2.14 1 4 100 100
1553694210583 52626 2.57 1 5 100 100
1553694211584 52626 3.01 1 7 100 100
1553694212585 52626 4.54 1 10 100 100
1553694213589 52626 4.86 1 11 100 100
1553694214591 52626 4.90 1 10 100 100
1553694215593 52626 3.33 1 6 100 100
1553694216596 52626 3.68 1 8 100 100
1553694217600 52626 4.70 1 8 100 100
1553694218601 52626 4.54 1 10 100 100
1553694219601 52626 7.17 1 17 100 100
1553694220602 52626 5.48 1 14 100 100
1553694221602 52626 4.30 1 9 100 100
1553694222603 52626 4.22 1 9 100 100
1553694223605 52626 2.18 1 6 100 100
1553694224606 52626 89.88 2 226 100 100
1553694225608 52626 1.33 1 2 100 100
1553694226610 52626 2.35 1 8 100 100
1553694227612 52626 1.86 1 4 100 100
1553694228613 52626 1.83 1 4 100 100
1553694229615 52626 2.64 1 5 100 100
1553694230618 52626 3.46 1 7 100 100
1553694231623 52626 7.95 1 38 100 100
1553694232627 52626 5.12 1 12 100 100
1553694233630 52626 4.41 1 7 100 100
1553694234630 52626 3.11 1 5 100 100
1553694235633 52626 48.34 2 84 100 100
1553694236635 52626 13.11 1 45 100 100
1553694237640 52626 3.01 1 6 100 100
1553694238644 52626 4.66 1 17 100 100
1553694239645 52626 6.00 1 22 100 100
1553694240649 52626 5.09 1 38 100 100
1553694241651 52626 2.49 1 5 100 100
1553694242655 52626 7.28 1 30 100 100
1553694243659 52626 3.95 1 10 100 100
1553694244663 52626 10.04 1 30 100 100
1553694245664 52626 7.15 1 19 100 100
1553694246667 52626 2.38 1 4 100 100
1553694247667 52626 5.46 1 27 100 100
1553694248668 52626 3.66 1 5 100 100
1553694249669 52626 3.30 1 17 100 100
1553694250672 52626 4.35 1 19 100 100
1553694271425 53226 0.00 0 0 0 1000
1553694272428 53226 0.00 0 0 215 1000
1553694273429 53226 0.00 0 0 0 1000
1553694274435 53226 0.00 0 0 0 1000
1553694275437 53226 0.00 0 0 0 1000
1553694276442 53226 0.00 0 0 0 1000
1553694277442 53226 0.00 0 0 0 1000
1553694278443 53226 0.00 0 0 0 1000
1553694279446 53226 0.00 0 0 0 1000
1553694280449 53226 0.00 0 0 0 1000
1553694281452 53226 0.00 0 0 0 1000
1553694282457 53226 0.00 0 0 0 1000
1553694283457 53226 0.00 0 0 0 1000
1553694284457 53226 0.00 0 0 0 1000
1553694285457 53226 0.00 0 0 0 1000
1553694286457 53226 0.00 0 0 0 1000
1553694287461 53226 0.00 0 0 0 1000
1553694288463 53226 0.00 0 0 0 1000
1553694289466 53226 0.00 0 0 0 1000
1553694290470 53226 0.00 0 0 0 1000
1553694291475 53226 0.00 0 0 0 1000
1553694292480 53226 0.00 0 0 0 1000
1553694293481 53226 0.00 0 0 0 1000
1553694294484 53226 0.00 0 0 0 1000
1553694295486 53226 0.00 0 0 0 1000
1553694296489 53226 0.00 0 0 0 1000
1553694297488 53226 0.00 0 0 0 1000
1553694298491 53226 0.00 0 0 0 1000
1553694299494 53226 0.00 0 0 0 1000
1553694300493 53226 0.00 0 0 0 1000
1553694301495 53226 0.00 0 0 0 1000
1553694302495 53226 0.00 0 0 0 1000
1553694303498 53226 0.00 0 0 0 1000
1553694304502 53226 0.00 0 0 0 1000
1553694305503 53226 0.00 0 0 0 1000
1553694306503 53226 0.00 0 0 0 1000
1553694307507 53226 0.00 0 0 0 1000
1553694308513 53226 0.00 0 0 0 1000
1553694309517 53226 0.00 0 0 0 1000
1553694310520 53226 0.00 0 0 0 1000
1553694311524 53226 0.00 0 0 0 1000
1553694312525 53226 0.00 0 0 0 1000
1553694313530 53226 0.00 0 0 0 1000
1553694314534 53226 0.00 0 0 0 1000
1553694315535 53226 0.00 0 0 0 1000
1553694316540 53226 0.00 0 0 0 1000
1553694317543 53226 0.00 0 0 0 1000
1553694318548 53226 0.00 0 0 0 1000
1553694319548 53226 0.00 0 0 0 1000
1553694320551 53226 0.00 0 0 0 1000
1553694321552 53226 0.00 0 0 0 1000
1553694322553 53226 0.00 0 0 0 1000
1553694323558 53226 0.00 0 0 0 1000
1553694324562 53226 0.00 0 0 0 1000
1553694325567 53226 0.00 0 0 0 1000
1553694326570 53226 0.00 0 0 0 1000
1553694327571 53226 0.00 0 0 0 1000
1553694328572 53226 0.00 0 0 0 1000
1553694329573 53226 0.00 0 0 0 1000
1553694330573 53226 0.00 0 0 0 1000
1553694331577 53226 0.00 0 0 0 1000
1553694332582 53226 0.00 0 0 0 1000
1553694333585 53226 0.00 0 0 0 1000
1553694334591 53226 0.00 0 0 0 1000
1553694335596 53226 0.00 0 0 0 1000
1553694336598 53226 0.00 0 0 0 1000
1553694337602 53226 0.00 0 0 0 1000
1553694338605 53226 0.00 0 0 0 1000
1553694339609 53226 0.00 0 0 0 1000
1553694340610 53226 0.00 0 0 0 1000
1553694341610 53226 0.00 0 0 0 1000
1553694342610 53226 0.00 0 0 0 1000
1553694343614 53226 0.00 0 0 0 1000
1553694344614 53226 0.00 0 0 0 1000
1553694345619 53226 0.00 0 0 0 1000
1553694346624 53226 0.00 0 0 0 1000
1553694347625 53226 0.00 0 0 0 1000
1553694348627 53226 0.00 0 0 0 1000
1553694349631 53226 0.00 0 0 0 1000
1553694350635 53226 0.00 0 0 0 1000
1553694351636 53226 0.00 0 0 0 1000
1553694352638 53226 0.00 0 0 0 1000
1553694353638 53226 0.00 0 0 0 1000
1553694354638 53226 0.00 0 0 0 1000
1553694355640 53226 0.00 0 0 0 1000
1553694356642 53226 0.00 0 0 0 1000
1553694357644 53226 0.00 0 0 0 1000
1553694358649 53226 0.00 0 0 0 1000
1553694359652 53226 0.00 0 0 0 1000
1553694360652 53226 0.00 0 0 0 1000
1553694361652 53226 0.00 0 0 0 1000
1553694362652 53226 0.00 0 0 0 1000
1553694363652 53226 0.00 0 0 0 1000
1553694364652 53226 0.00 0 0 0 1000
1553694365652 53226 0.00 0 0 0 1000
1553694366653 53226 0.00 0 0 0 1000
1553694367654 53226 0.00 0 0 0 1000
1553694368655 53226 0.00 0 0 0 1000
1553694369660 53226 0.00 0 0 0 1000
1553694370665 53226 0.00 0 0 0 1000
1553694371665 53226 0.00 0 0 0 1000
1553694372667 53226 0.00 0 0 0 1000
1553694373672 53226 0.00 0 0 0 1000
1553694555764 54018 0.00 0 0 0 1000
1553694563047 54077 0.00 0 0 0 1000
1553694564047 54077 206.66 41 352 196 1000
1553694565046 54077 0.00 0 0 0 1000
1553694566052 54077 0.00 0 0 0 1000
1553694567055 54077 0.00 0 0 0 1000
1553694568056 54077 0.00 0 0 0 1000
1553694689352 54408 0.00 0 0 0 1000
1553694690353 54408 0.00 0 0 0 1000
1553694691353 54408 0.00 0 0 0 1000
1553694692355 54408 316.66 256 362 256 1000
1553694693354 54408 0.00 0 0 104 1000
1553694694356 54408 0.00 0 0 0 1000
1553694695360 54408 0.00 0 0 0 1000
1553694696365 54408 0.00 0 0 0 1000
1553694697370 54408 0.00 0 0 0 1000
1553694698370 54408 0.00 0 0 0 1000
1553694699372 54408 0.00 0 0 0 1000
1553694700372 54408 0.00 0 0 0 1000
1553694701377 54408 0.00 0 0 0 1000
1553694702378 54408 0.00 0 0 0 1000
1553694703378 54408 0.00 0 0 0 1000
1553694704379 54408 0.00 0 0 0 1000
1553694705383 54408 0.00 0 0 0 1000
1553694706383 54408 0.00 0 0 0 1000
1553694707383 54408 0.00 0 0 0 1000
1553694708384 54408 0.00 0 0 0 1000
1553694709387 54408 0.00 0 0 0 1000
1553694710391 54408 0.00 0 0 0 1000
1553694711395 54408 0.00 0 0 0 1000
1553694712396 54408 0.00 0 0 0 1000
1553694713401 54408 0.00 0 0 0 1000
1553694714401 54408 0.00 0 0 0 1000
1553694715404 54408 0.00 0 0 0 1000
1553694716406 54408 0.00 0 0 0 1000
1553694717409 54408 0.00 0 0 0 1000
1553694718409 54408 0.00 0 0 0 1000
1553694719414 54408 0.00 0 0 0 1000
1553694720417 54408 0.00 0 0 0 1000
1553694721418 54408 0.00 0 0 0 1000
1553694722423 54408 0.00 0 0 0 1000
1553694723426 54408 0.00 0 0 0 1000
1553694724426 54408 0.00 0 0 0 1000
1553694725430 54408 0.00 0 0 0 1000
1553694726435 54408 0.00 0 0 0 1000
1553694727439 54408 0.00 0 0 0 1000
1553694728440 54408 0.00 0 0 0 1000
1553694729441 54408 0.00 0 0 0 1000
1553694730441 54408 0.00 0 0 0 1000
1553694731441 54408 0.00 0 0 0 1000
1553694732442 54408 0.00 0 0 0 1000
1553694733444 54408 0.00 0 0 0 1000
1553694734445 54408 0.00 0 0 0 1000
